Id,SalePrice
1461,127335.43575418994
1462,154408.181632375
1463,180977.00139664806
1464,185117.5754189944
1465,194208.79864422948
1466,183953.68149611662
1467,167805.41967570514
1468,174887.37161057367
1469,183117.39954353456
1470,127382.98031066902
1471,201031.7261207249
1472,95444.95592042513
1473,99295.32858700096
1474,151744.5319525821
1475,136065.80293636734
1476,371678.24761547893
1477,253984.8312440387
1478,305211.3918108734
1479,259986.45203706226
1480,497436.5780419676
1481,306335.6580937457
1482,207075.88206840167
1483,182003.77776263794
1484,173166.50064722713
1485,174802.05552527594
1486,192384.4122836899
1487,309935.04060498707
1488,242118.08669437253
1489,208790.19151110505
1490,202964.57456737975
1491,190996.56049870554
1492,95529.3579166099
1493,179453.72312304127
1494,304052.1290366535
1495,298199.3665349502
1496,227865.9386837444
1497,188711.7886973702
1498,154436.919028478
1499,153539.8365921788
1500,155367.0043262025
1501,171535.3933778444
1502,156954.774628696
1503,273472.2221692329
1504,236204.720840714
1505,217714.97090884316
1506,185877.74730889767
1507,225929.32177408366
1508,205259.3078076032
1509,161558.46498160512
1510,152633.7962597084
1511,150392.34745878185
1512,174534.66534950264
1513,150446.28907208066
1514,164686.41688240904
1515,184993.61026706637
1516,164332.52847799426
1517,154315.66967570514
1518,132609.47261207248
1519,229427.87467638642
1520,138461.3665008857
1521,145344.7336149339
1522,159432.08764818095
1523,114543.47397465594
1524,124471.68704864423
1525,124662.84347322524
1526,130068.06635781442
1527,111919.9076849707
1528,127272.1036585366
1529,143064.1793841123
1530,169270.6594222646
1531,132913.4252963619
1532,106069.8030385611
1533,148780.87464232184
1534,116497.98289957759
1535,157036.25619975475
1536,120886.42171958032
1537,82570.11353726666
1538,183603.51832674752
1539,226754.2620588636
1540,117227.34728845891
1541,149787.97148794113
1542,140664.67873688514
1543,206713.5585570241
1544,82408.90209837852
1545,104977.32102466276
1546,120266.65363128492
1547,135710.6161943044
1548,133010.6456601717
1549,116539.01750919744
1550,137299.89596675296
1551,118765.17304809918
1552,153380.33686469548
1553,145880.68776400056
1554,111978.95902030249
1555,173546.76045782806
1556,103122.33134623246
1557,124162.82814416132
1558,93101.69931189535
1559,128780.54424989781
1560,149247.50946995505
1561,153463.02745605668
1562,128092.52074533315
